site_url,bias
voiceofsandiego.org, center
crosscut.com, leftcenter
naturalcuresnotmedicine.info, conspiracy
itv.com, right-center
federalistnation.com, fake-news
outlook.monmouth.edu, center
borderlandalternativemedia.com, fake-news
responsibletechnology.org, conspiracy
aurora-news.us, fake-news
ibleedredwhiteblue.com, right
historynewsnetwork.org, leftcenter
southafricatoday.net, fake-news
theguardiansofdemocracy.com, left
answersingenesis.org, conspiracy
religionnews.com, leftcenter
crimeresearch.org, right
propornot.com, conspiracy
epi.org, leftcenter
liberalamerica.org, left
rightalerts.com, fake-news
redwhiteandright.com, fake-news
usanewsflash.com, fake-news
defenseone.com, center
skyandtelescope.com, pro-science
shareably.net, center
patriothangout.com, fake-news
states-tv.com, fake-news
rightwingwatch.org, left
horowitzfreedomcenter.org, fake-news
democracy21.org, leftcenter
world.wng.org, right
christianaction.org, fake-news
stiltonsplace.blogspot.com, satire
drudge.com, left
milo.yiannopoulos.net, fake-news
news.groopspeak.com, left
democraticreview.com, fake-news
creambmp.com, satire
empirenews.net, satire
bitchmedia.org, left
freetelegraph.com, fake-news
valuewalk.com, right-center
kansascity.com, leftcenter
illuminati-news.com, conspiracy
freespeech.org, left
cnn-globalnews.com, fake-news
albawaba.com, center
christianscience.com, conspiracy
atlbanana.com, satire
villagevoice.com, left
therightstuff.biz, fake-news
gomerblog.com, satire
thequint.com, right-center
libertyviral.com, right-center
theproudliberal.org, fake-news
wearechange.org, conspiracy
dailypress.com, right-center
armstrongeconomics.com, right-center
splcenter.org, leftcenter
hillarybeattrump.org, satire
thecollegefix.com, right
stgeorgegazette.com, satire
16wmpo.com, satire
richmond.com, right-center
christianitytoday.com, right-center
flashnewscorner.com, fake-news
washingtonjournal.com, left
redalertpolitics.com, right
astronomy.com, pro-science
wgntv.com, leftcenter
myrightamerica.com, fake-news
bustle.com, leftcenter
observeronline.news, satire
therealstrategy.com, right
allenwestrepublic.com, fake-news
floridasunpost.com, fake-news
themilreview.com, right
clashdaily.com, fake-news
ancient-origins.net, conspiracy
judicialwatch.org, right
theuspatriot.com, fake-news
campaignlifecoalition.com, right
consortiumnews.com, center
nakedcapitalism.com, right-center
verafiles.org, center
militarytimes.com, right-center
friendsofscience.org, conspiracy
offgridsurvival.com, right
americanpatriotdaily.com, fake-news
ushealthyadvisor.com, fake-news
allthatsfab.com, left
davidwolfe.com, conspiracy
rilenews.com, satire
congress.gov, center
infiniteunknown.net, conspiracy
charismanews.com, conspiracy
healtheternally.com, conspiracy
stltoday.com, leftcenter
pravdareport.com, left
newnation.org, fake-news
reductress.com, satire
jointcenter.org, leftcenter
commdiginews.com, right-center
chicagoreader.com, left
freedomsfinalstand.com, fake-news
nymag.com, left
theracketreport.com, satire
itaglive.com, fake-news
bdnews24.com, center
conspiracyplanet.com, conspiracy
taxjustice.net, leftcenter
rsf.org, center
aps.org, pro-science
ourlandofthefree.com, satire
occupydemocrats.com, fake-news
madamericannetwork.com, fake-news
foreignpolicy.com, center
americanlookout.com, fake-news
this.org, left
emirates247.com, leftcenter
circa.com, right-center
publicinterestlegal.org, right-center
chroniclesofdemocracy.com, left
freewestmedia.com, center
statesmanjournal.com, right-center
cato.org/regulation, right-center
deadspin.com, left
urban.org, leftcenter
revealnews.org, leftcenter
harpers.org, leftcenter
oklahoman.com, right-center
legitgov.org, leftcenter
rollcall.com, center
theseattletribune.com, satire
mwcnews.net, leftcenter
knowyourmeme.com, center
dailymail.co.uk, right
cap-news.com, satire
theestablishment.co, left
themoscowtimes.com, leftcenter
opposingviews.com, leftcenter
conservativeshere.com, right
lifezette.com, right
insidehighered.com, leftcenter
newobserveronline.com, fake-news
bgr.com, leftcenter
campusreform.org, right
reason.com, right-center
al.com, right-center
berkshireeagle.com, leftcenter
resourcegovernance.org, leftcenter
conservative101.com, fake-news
twisted.news, conspiracy
unclesamsmisguidedchildren.com, fake-news
ilovemyfreedom.org, fake-news
economictimes.indiatimes.com, leftcenter
greensboro.com, leftcenter
projectpurge.com, fake-news
vox.com, left
thejakartapost.com, center
arabnews.com, right-center
hudson.org, right
daltondailycitizen.com, right-center
slate.com, left
larouchepac.com, conspiracy
redice.tv, fake-news
usadosenews.com, fake-news
nih.gov, pro-science
ohio.com, leftcenter
theverge.com, leftcenter
techxplore.com, pro-science
thewest.com.au, right-center
truthbetold.news, center
uniquewebmagazine.com, fake-news
rawstory.com, left
usapoliticstoday.com, right
en.bbarta24.net, center
zootfeed.com, fake-news
newsnow.co.uk, center
stubhillnews.com, satire
secureamericanow.org, right
public.wmo.int, pro-science
dailycurrant.com, satire
earth.columbia.edu, center
abcnews.go.com, leftcenter
ivn.us, center
heatst.com, right
proudcons.com, fake-news
americanintelligencereport.com, conspiracy
sandiegofreepress.org, leftcenter
mediaite.com, left
whale.to, conspiracy
washingtonmonthly.com, left
offendedamerica.com, right
nodisinfo.com, conspiracy
fedsalert.com, satire
psmag.com, leftcenter
fellowshipoftheminds.com, conspiracy
wellnessachiever.net, conspiracy
blacklistednews.com, conspiracy
nutritionfacts.org, conspiracy
mediafactwatch.com, conspiracy
mrc.org, right
castanet.net, center
janes.com, center
policyed.org, right-center
viraldevil.com, satire
standard.co.uk, right-center
thegazette.com, right-center
uproxx.com, left
hoover.org, right-center
blackgenocide.org, fake-news
mcclatchydc.com, center
au.org, left
infowars.com, conspiracy
en-volve.com, fake-news
putintrump.org, leftcenter
vermontindependent.org, left
teaparty.org, fake-news
worldpoliticus.com, fake-news
derfmagazine.com, satire
thefiscaltimes.com, right-center
tribunist.com, right
www3.nhk.or.jp, center
silive.com, leftcenter
newsone.com, leftcenter
tribunemagazine.org, left
escapeallthesethings.com, conspiracy
watchdog.org, right-center
americafans.com, fake-news
americanthinker.com, right
thenationalpulse.com, fake-news
gizmodo.com, left
statnews.com, center
insidephilanthropy.com, leftcenter
bullshido.net, center
jpost.com, leftcenter
neonnettle.com, conspiracy
liberty-courier.com, fake-news
lynx.media, right-center
hellochristian.com, conspiracy
usadailypost.us, fake-news
crooksandliars.com, left
factscan.ca, center
news-gazette.com, right-center
dailyheadlines.net, fake-news
jta.org, center
doubtfulnews.com, pro-science
israelnationalnews.com, right-center
satiratribune.com, satire
propublica.org, leftcenter
spectator.co.uk, right-center
conservativespirit.com, fake-news
progressivestoday.com, fake-news
ourhealthguides.com, conspiracy
sbs.com.au, leftcenter
oureyeonislam.com, fake-news
medscape.com, pro-science
govexec.com, center
upi.com, center
samefacts.com, left
politicalupdater.com, left
humansarefree.com, conspiracy
japantoday.com, right-center
independent.ie, right-center
carnegieendowment.org, center
controversialtimes.com, right
independent.org, right-center
nypost.com, right-center
curvemag.com, left
trueactivist.com, fake-news
irrawaddy.com, leftcenter
skeptics.com.au, pro-science
judicialnetwork.com, right
lifesitenews.com, right
scarymommy.com, left
cctv-america.com, leftcenter
conservativetribune.com, fake-news
judithcurry.com, conspiracy
bigbluevision.org, fake-news
indianexpress.com, center
justfactsdaily.com, right-center
fusion.net, leftcenter
andersoninstitute.com, conspiracy
necn.com, leftcenter
factmyth.com, leftcenter
tass.com, right-center
skepticalscience.com, pro-science
economyincrisis.org, left
g-a-i.org, right
chroniclesmagazine.org, right
shoebat.com, conspiracy
statesman.com, leftcenter
investopedia.com, center
populartechnology.net, conspiracy
greentechmedia.com, leftcenter
group30.org, right-center
desmoinesregister.com, right-center
chicago.suntimes.com, leftcenter
churchmilitant.com, right
theskimm.com, center
truthuncensored.net, fake-news
fmobserver.com, satire
prwatch.org, left
adl.org, leftcenter
popularresistance.org, left
therantidote.com, right
staradvertiser.com, leftcenter
cernovich.com, fake-news
thisisthezerohour.com, leftcenter
rapturenewsnetwork.com, conspiracy
hurriyetdailynews.com, leftcenter
dailynewsbin.com, left
theburningspear.com, left
tampabay.com, leftcenter
macleans.ca, leftcenter
english.aawsat.com, center
theoutline.com, left
warontherocks.com, center
foreignaffairs.com, center
metro.us, leftcenter
international.thenewslens.com, right-center
libertyvideos.org, conspiracy
viralactions.com, satire
csmonitor.com, center
natmonitor.com, leftcenter
freedomdaily.com, fake-news
baltimoresun.com, leftcenter
dailysabah.com, right
undergroundhealth.com, conspiracy
rationalwiki.org, leftcenter
euromaidanpress.com, leftcenter
procon.org, center
politifeed.net, right
almasdarnews.com, leftcenter
hpenews.com, right-center
wilderness.org, leftcenter
betootaadvocate.com, satire
liveaction.org, conspiracy
psychologytoday.com, pro-science
lexingtoninstitute.org, right-center
aceflashman.wordpress.com, satire
britainfirst.tv, fake-news
conservativepoliticus.com, fake-news
usinfonews.com, fake-news
house.gov, center
mediamatters.org, left
concernedwomen.org, fake-news
thechristianleft.org, leftcenter
progressive.org, left
australiannationalreview.com, conspiracy
bluenationreview.com, left
modernalternativemama.com, conspiracy
libertybrief.com, fake-news
sayfiereview.com, center
patribotics.blog, fake-news
asia-pacificresearch.com, conspiracy
uspostman.com, fake-news
wattsupwiththat.com, conspiracy
leftscoop.com, left
taxpayer.com, right-center
phnompenhpost.com, center
theblacksphere.net, right
duhprogressive.com, satire
english.ahram.org.eg, center
populardemocracy.org, leftcenter
worldcantwait.net, left
knowledgeoftoday.org, conspiracy
bellingcat.com, center
eng.majalla.com, center
politicaldig.com, left
livingresistance.com, conspiracy
reaganwasright.com, satire
pamelageller.com, fake-news
celebtricity.com, satire
americanmilitarynews.com, right
worldaffairsjournal.org, leftcenter
tennesseestar.com, right
theguardian.com, leftcenter
eagletribune.com, center
unicornriot.ninja, leftcenter
globaltimes.cn, leftcenter
citizen-times.com, leftcenter
whitehouse.gov, right
autismspeaks.org, conspiracy
ammoland.com, right
ocregister.com, right-center
antiwar.com, right-center
truthbroadcastnetwork.com, conspiracy
returnofkings.com, fake-news
people.com, left
dailyrecord.co.uk, left
amnesty.org, center
theweek.com, leftcenter
foreignpolicyi.org, right-center
csis.org, center
christiannewsalerts.com, right
thebostontribune.com, fake-news
change.org, left
dataasylum.com, conspiracy
thelapine.ca, satire
realclearscience.com, pro-science
ukcolumn.org, conspiracy
atlanticmedia.com, leftcenter
rescue.org, center
en.wikipedia.org, left
knightfoundation.org, leftcenter
prophecytoday.com, conspiracy
gopocalypse.org, left
liberaldarkness.com, satire
stuff.co.nz, leftcenter
space.com, pro-science
telegraph.co.uk, right-center
parallax.news, center
learnliberty.org, right-center
freedumjunkshun.com, satire
winningdemocrats.com, fake-news
votesmart.org, center
niskanencenter.org, center
libertyheadlines.com, right
freedomoutpost.com, fake-news
supremepatriot.com, fake-news
splinternews.com, left
allenbwest.com, right
christiantoday.info, conspiracy
getreligion.org, right
familysurvivalheadlines.com, conspiracy
energycitizens.org, right
aol.com, leftcenter
en.metapedia.org, fake-news
lgbtqnation.com, left
stateofthenation2012.com, fake-news
leftjustified.com, leftcenter
interpretermag.com, leftcenter
watchers.news, pro-science
gatestoneinstitute.org, right
hrw.org, leftcenter
timespolice.com, fake-news
chicagoreporter.com, leftcenter
christwire.org, satire
trueviralnews.com, center
worldtribune.com, right
popsci.com, pro-science
worldtruth.tv, conspiracy
federaltimes.com, center
bigthink.com, center
nationalnewswatch.com, leftcenter
neverrepublican.com, fake-news
kff.org, center
atomicmonkey.wordpress.com, satire
firstpost.com, left
openmagazines.com, fake-news
rooseveltinstitute.org, leftcenter
cleveland.com, leftcenter
alabamaobserver.com, fake-news
rappler.com, left
theage.com.au, leftcenter
newhumanist.org.uk, pro-science
sciencebasedmedicine.org, pro-science
dailynotify.com, fake-news
dailysurge.com, right
dw.com, leftcenter
goodgopher.com, fake-news
deadline.com, leftcenter
aljazeera.com, leftcenter
rightsidenews.com, fake-news
twitchy.com, right
usa-television.com, fake-news
strategic-culture.org, right-center
eurasiareview.com, center
680news.com, center
infogalactic.com, fake-news
fairus.org, fake-news
mediaroots.org, conspiracy
americamagazine.org, leftcenter
businessinsider.com, leftcenter
healthy-vibes.com, conspiracy
cowgernation.com, right
commonwealthfund.org, leftcenter
antinewsnetwork.com, conspiracy
reverepress.com, left
phys.org, pro-science
newsobserver.com, leftcenter
nasa.gov, pro-science
fairvote.org, leftcenter
jamestown.org, right-center
treehugger.com, pro-science
rstreet.org, right-center
readconservatives.news, fake-news
bnonews.com, center
lfpress.com, right-center
ronpaullibertyreport.com, right
usherald.com, fake-news
dailyusaupdate.com, fake-news
dcstatesman.com, right
aim4truth.org, conspiracy
salon.com, left
statefort.com, fake-news
southfront.org, conspiracy
dailystormer.com, fake-news
pastemagazine.com, left
100percentfedup.com, fake-news
nationalreview.com, right
embols.com, fake-news
fury.news, fake-news
spinzon.com, fake-news
dailynews.com, right-center
buzzfeed.com, leftcenter
pakalertpress.com, conspiracy
lavendermagazine.com, left
aranews.net, leftcenter
irena.org, pro-science
naturalmedicineteam.com, conspiracy
inthesetimes.com, left
colddeadhands.us, right
theduran.com, fake-news
sourcewatch.org, left
washingtonblade.com, leftcenter
ecowatch.com, conspiracy
the-japan-news.com, right-center
billmoyers.com, leftcenter
fpri.org, right-center
cdt.org, center
rep-am.com, right-center
independent.co.uk, leftcenter
universepolitics.com, fake-news
egyptianstreets.com, leftcenter
seattlepi.com, leftcenter
newcenturytimes.com, fake-news
frc.org, fake-news
peninsuladailynews.com, right-center
thedailydefender.com, right
spiked-online.com, right
smithsonianmag.com, pro-science
www1.cbn.com, conspiracy
ir.net, left
sociable.co, center
govtrack.us, center
nationinstitute.org, leftcenter
spokesman.com, right-center
toprightnews.com, fake-news
therundownlive.com, conspiracy
usnews.com, leftcenter
newromantimes.com, satire
citypaper.com, left
chronicle.com, center
defiantamerica.com, fake-news
freewoodpost.com, satire
evonomics.com, left
proamericanews.com, fake-news
ageofshitlords.com, fake-news
cnsnews.com, right
louderwithcrowder.com, right
oilandwaterdontmix.org, leftcenter
sentinelksmo.org, right
globetoday.com, left
desmogblog.com, left
fpif.org, leftcenter
insidesources.com, right-center
overpassesforamerica.com, fake-news
counterpsyops.com, conspiracy
pbs.org, leftcenter
thedailyvox.co.za, left
grist.org, leftcenter
afa.net, fake-news
thecipherbrief.com, center
mackinac.org, right-center
governing.com, leftcenter
edmontonjournal.com, leftcenter
polygraph.info, center
oppositionreport.com, fake-news
rabble.ca, left
webdaily.com, fake-news
good.is, left
ricochet.com, right
farleftwatch.com, right
ageofautism.com, conspiracy
mercurynews.com, leftcenter
turkeyandfacts.com, center
realnews24.com, conspiracy
commondreams.org, left
dcreport.org, leftcenter
mlive.com, center
globalresearch.ca, conspiracy
cbpp.org, leftcenter
newsandstoriesfromusa.com, fake-news
icr.org, conspiracy
honestreporting.com, right-center
revolution-news.com, left
autisticadvocacy.org, pro-science
listverse.com, center
stratfor.com, center
newsblaze.com, fake-news
viralcords.com, satire
thenewatlantis.com, right-center
conflict-news.com, center
newsheist.com, right-center
deadstate.org, left
thecitizenpress.com, right
news.trust.org, leftcenter
cfr.org, right-center
uspoliticsinfo.com, right
prri.org, center
news.cn, center
malaysia-today.net, center
thenewstribune.com, leftcenter
democraticmoms.com, fake-news
collectivelyconscious.net, conspiracy
blog.countable.us, center
manhattan-institute.org, right-center
wikispooks.com, conspiracy
thegopwatchdog.com, fake-news
scorchedearthnews.com, satire
fedsoc.org, right
nber.org, center
usadailytime.com, fake-news
elpasotimes.com, leftcenter
bigamericannews.com, satire
medicalxpress.com, pro-science
impeachdjtnow.com, left
sitsshow.blogspot.com, conspiracy
koreaherald.com, right-center
ynetnews.com, leftcenter
limacharlienews.com, center
express.co.uk, right
mediaequalizer.com, right
straitstimes.com, right-center
backedbyfact.com, left
timescolonist.com, leftcenter
independent.com, leftcenter
usafirstinformation.com, fake-news
thefederalist.com, right
thenews.mx, center
archaeology.org, pro-science
natall.com, fake-news
thelocal.no, leftcenter
ledevoir.com, center
ydr.com, leftcenter
369news.net, conspiracy
anews-24.com, fake-news
defenddemocracy.org, right
outsidethebeltway.com, leftcenter
eppc.org, right-center
zerohedge.com, conspiracy
theuspoliticalpost.com, left
